Deadline,Grant Title,Open Date,State Agency / Department,Match Funding,Estimated Total Funding,Estimated Low/High,Funds Disbursement
Active Ongoing,2024 LHTF NOFA Round 5,"Jul 9, 2024",Department of Housing and Community Development,50%,"$53,000,000",Dependent,Advance(s)
Active Ongoing,2025 – 2026 LSTA Community Impact Grants,"Jan 10, 2025",CA State Library,No,"$500,000","$10,000 – $250,000",Advance(s)
Active 3/31/26 17:00,2025 HOME Projects NOFA – Non-Tribal,"Jan 29, 2026",Department of Housing and Community Development,No,"$34,866,126",Dependent,Reimbursement(s)
Active 6/30/26 17:00,2025 HOME Projects NOFA – Tribal Applicants,"Jan 29, 2026",Department of Housing and Community Development,No,"$34,866,126",Dependent,Reimbursement(s)
Active Ongoing,2025 Multifamily Finance Super NOFA – Los Angeles,"Aug 22, 2025",Department of Housing and Community Development,No,"$101,000,000",Dependent,Advances & Reimbursement(s)
Active Ongoing,Beet Curly Top Virus Control Program Grants,"Jul 17, 2025",CA Department of Food and Agriculture,No,$0,"$1 – $190,000",Reimbursement(s)
Active Ongoing,BH UWC Consolidated Grant Program,"Oct 9, 2025",Baldwin Hills Conservancy,25%,$0,Dependent,Advances & Reimbursement(s)
Active Ongoing,Brownfields Revolving Loan Fund (RLF) Grant Program,"Dec 22, 2021",Department of Toxic Substances Control,No,"$172,000",Dependent,Reimbursement(s)
Active 5/20/26 00:00,CAL FIRE Business and Workforce Development,"Feb 25, 2026",Department of Forestry and Fire Protection,100%,"$10,000,000",Dependent,Advances & Reimbursement(s)
Active Ongoing,California Forest Improvement Program,"Jul 12, 2022",Department of Forestry and Fire Protection,20%,$0,Dependent,Advances & Reimbursement(s)
Active Ongoing,Cannabis Research and Innovation Funding Opportunity (RIFO),"Jul 1, 2024",Department of Fish and Wildlife,No,$0,Dependent,Reimbursement(s)
Active Ongoing,CEFA Bond Financing Program,"Jul 6, 2020",State Treasurer's Office,No,$0,"$1 – $5,000,000,000",Advances & Reimbursement(s)
Active Ongoing,Charter Access Bank Loan Enhancement Program (Charter ABLE),"Mar 30, 2021",State Treasurer's Office,No,"$20,000,000",Dependent,Advance(s)
Active Ongoing,Charter FinE Enhancement (Charter FinE) Program,"Oct 12, 2023",State Treasurer's Office,No,"$10,000,000",Dependent,Advance(s)
Active Ongoing,Charter School Facilities Credit Enhancement Grant Program,"Jul 1, 2009",State Treasurer's Office,No,"$8,300,000",Dependent,Advance(s)
Active Ongoing,Charter School Facilities Program (CSFP),"Nov 5, 2002",State Treasurer's Office,No,"$1,400,000,000",Dependent,Advance(s)
Active Ongoing,Charter School Facility Grant Program – (SB740),"Jul 1, 2013",State Treasurer's Office,No,"$137,272,000",Dependent,Advances & Reimbursement(s)
Active Ongoing,CHFFA Bond Financing Program,"Jul 7, 2020",State Treasurer's Office,No,"$5,000,000,000","$1 – $5,000,000,000",Advances & Reimbursement(s)
Active Ongoing,CHFFA Commercial Paper Program,"Sep 13, 2023",State Treasurer's Office,No,"$5,000,000,000","$1 – $5,000,000,000",Advances & Reimbursement(s)
Active Ongoing,Children's Hospital Program of 2008 – Children's Hospitals (3rd funding round),"Jul 1, 2022",State Treasurer's Office,No,"$9,679,509","$1 – $9,679,509",Reimbursement(s)
Active Ongoing,Children's Hospital Program of 2018 -Children's Hospitals,"Feb 22, 2022",State Treasurer's Office,No,"$774,634,598","$1 – $135,000,000",Advances & Reimbursement(s)
Active Ongoing,Civil Money Penalty Reinvestment Grant,"Jul 15, 2020",Department of Public Health,No,"$17,602,130",Dependent,Reimbursement(s)
Active 3/31/26 11:59,Clean Energy Access: LA County TECH Grant: Round 2,"Feb 2, 2026",Public Utilities Commission,No,"$700,000",Dependent,Advances & Reimbursement(s)
Active Ongoing,Clean Water State Revolving Fund (CWSRF) Program,"Jun 8, 2020",State Water Resources Control Board,No,$0,Dependent,Reimbursement(s)
Active Ongoing,"Cleanup, Remediation, and Watershed Enhancement Funding Opportunity","Jan 9, 2023",Department of Fish and Wildlife,No,$0,Dependent,Reimbursement(s)
Active Ongoing,Climate Adaptation and Resiliency,"Nov 18, 2024",Wildlife Conservation Board,No,"$25,000,000",Dependent,Advances & Reimbursement(s)
Active Ongoing,Coachella Valley Open Space Acquisition Program,"Jul 15, 2020",Coachella Valley Mountains Conservancy,No,"$5,500,000",Dependent,Advances & Reimbursement(s)
Active Ongoing,"Coachella Valley Proposition 68 Parks, Conservation Land Access and Climate Change Response Grant Program","Jul 15, 2020",Coachella Valley Mountains Conservancy,No,"$5,700,000",Dependent,Reimbursement(s)
Active Ongoing,Coastal Conservancy Grants,"Jul 9, 2020",Coastal Conservancy,No,$0,Dependent,Reimbursement(s)
Active Ongoing,Community and Economic Enhancement Grant Program – Proposition 68,"Jul 14, 2020",Sacramento-San Joaquin Delta Conservancy,No,"$8,700,000",Dependent,Advances & Reimbursement(s)
Active Ongoing,County-wide and Regional Funding Program,"Aug 1, 2022",State Water Resources Control Board,No,$0,Dependent,Reimbursement(s)
Active Ongoing,Desert Conservation Program,"Nov 18, 2024",Wildlife Conservation Board,No,$0,Dependent,Advances & Reimbursement(s)
Active 6/30/26 23:59,Division of Boating and Waterways Local Assistance Pumpout/Dump Station Installation Grant FY25,"Jul 1, 2025",Department of Parks and Recreation,25%,"$238,500",Dependent,Reimbursement(s)
Active 6/30/26 23:59,Division of Boating and Waterways Local Assistance Pumpout/Dump Station/Floating Restroom Operation and Maintenance Grant FY25,"Jul 1, 2025",Department of Parks and Recreation,25%,"$73,000",Dependent,Reimbursement(s)
Active Ongoing,Drinking Water State Revolving Fund (DWSRF) Construction,"Jun 8, 2020",State Water Resources Control Board,No,"$280,000,000","$2,000,000 – $10,000,000",Reimbursement(s)
Active Ongoing,Drinking Water State Revolving Fund (DWSRF) Planning,"Jun 7, 2020",State Water Resources Control Board,No,"$10,000,000","$250,000 – $500,000",Reimbursement(s)
Active Ongoing,Emergency Drinking Water / Cleanup & Abatement Account Programs,"Jun 8, 2020",State Water Resources Control Board,No,"$9,700,000",Dependent,Reimbursement(s)
Active Ongoing,"Empty Glass Beverage Transportation Grant Program, FY 2026-27","Feb 11, 2026",Department of Resources Recycling and Recovery,100%,"$4,000,000","$500,000 – $4,000,000",Reimbursement(s)
Active 4/6/26 23:59,Endangered Species Conservation and Recovery Grant Program,"Feb 26, 2026",Department of Fish and Wildlife,25%,$0,Dependent,Reimbursement(s)
Active Ongoing,Explore the Coast Overnight,"Jul 6, 2020",Coastal Conservancy,No,"$5,000,000",Dependent,Reimbursement(s)
Active 3/2/26 15:00,Farmworkers Advancement Program (FAP) Grant for Program Year 2025-26 (PY 25-26),"Feb 3, 2026",Employment Development Department,No,"$5,000,000","$450,000 – $1,000,000",Reimbursement(s)
Active 4/16/26 15:00,Fisheries Restoration Grant Program (2026),"Jan 23, 2026",Department of Fish and Wildlife,No,"$16,000,000","$100,000 – $2,000,000",Advances & Reimbursement(s)
Active Ongoing,Forest Conservation,"Nov 18, 2024",Wildlife Conservation Board,No,"$10,000,000",Dependent,Advances & Reimbursement(s)
Active Ongoing,GFO-21-901 – Cost Share for Federal Clean Energy Funding Opportunities,"Mar 22, 2022",CA Energy Commission,20%,"$20,000,000",Dependent,Reimbursement(s)
Active 3/2/26 17:00,Grants and Cooperative Agreements Program (GCA) – G26,"Jan 12, 2026",Department of Parks and Recreation,25%,"$30,000,000",Dependent,Advances & Reimbursement(s)
Active Ongoing,Grants and Cooperative Agreements Program (GCA)- G25,"Feb 4, 2025",Department of Parks and Recreation,25%,"$30,000,000",Dependent,Advances & Reimbursement(s)
Active Ongoing,Greenhouse Gas Reduction Loan Program,"Aug 3, 2020",Department of Resources Recycling and Recovery,25%,"$5,500,000",Dependent,Advance(s)
Active Ongoing,Habitat Enhancement and Restoration,"Nov 18, 2024",Wildlife Conservation Board,No,"$15,000,000",Dependent,Advances & Reimbursement(s)
Active Ongoing,Hazard Mitigation Grant Program,"Jan 1, 2023",Governor's Office of Emergency Services,25%,"$210,139,906",Dependent,Advances & Reimbursement(s)
Active Ongoing,Healthcare Expansion Loan Program II (HELP II),"Jul 6, 2020",State Treasurer's Office,5%,"$16,000,000","$25,000 – $1,500,000",Advance(s)
Active Ongoing,Inland Wetlands Conservation,"Nov 18, 2024",Wildlife Conservation Board,No,"$8,000,000",Dependent,Advances & Reimbursement(s)
Active Ongoing,Land Acquisition 2025,"Apr 22, 2025",Wildlife Conservation Board,No,"$100,000,000",Dependent,Advances & Reimbursement(s)
Active Ongoing,Lower American River Conservancy Program,"Nov 18, 2024",Wildlife Conservation Board,No,"$750,000",Dependent,Advances & Reimbursement(s)
Active Ongoing,Monarch Butterfly and Pollinator Rescue,"Nov 18, 2024",Wildlife Conservation Board,No,"$3,000,000",Dependent,Advances & Reimbursement(s)
Active Ongoing,Nature Based Solutions – Wildlife Corridors,"Dec 9, 2022",Department of Fish and Wildlife,No,"$42,000,000",Dependent,Reimbursement(s)
Active 3/13/26 17:00,Nesting Bird Habitat Incentive Program Public Lands Funding 2026-27,"Feb 4, 2026",Department of Fish and Wildlife,No,"$850,000",Dependent,Reimbursement(s)
Active Ongoing,Oak Woodlands Conservation,"Nov 18, 2024",Wildlife Conservation Board,No,"$2,000,000",Dependent,Advances & Reimbursement(s)
Active 3/6/26 17:00,"Ocean Acidification, Hypoxia, and Harmful Algal Bloom Solicitation","Feb 9, 2026",Ocean Protection Council,No,"$6,000,000","$200,000 – $3,000,000",Reimbursement(s)
Active Ongoing,Project Acceleration Notes and Credit Enhancement Alternatives,"Jul 1, 2017",State Treasurer's Office,No,"$8,000,000","$0 – $1,000,000",Advance(s)
Active Ongoing,Proposition 1 – Water Recycling,"Jun 6, 2023",State Water Resources Control Board,50%,"$4,602,466",Dependent,Reimbursement(s)
Active Ongoing,Proposition 1 Delta Water Quality and Ecosystem Restoration Grant Program,"Nov 30, 2022",Department of Fish and Wildlife,No,"$23,115,663",Dependent,Reimbursement(s)
Active Ongoing,Proposition 1 Lower Los Angeles River Grants,"Aug 21, 2024",San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,No,"$22,284,078","$50,000 – $2,000,000",Reimbursement(s)
Active Ongoing,Proposition 1 Regionwide Grants,"Aug 21, 2024",San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,No,"$1,000,000",Dependent,Reimbursement(s)
Active Ongoing,Proposition 1 Watershed Restoration Grant Program,"Nov 30, 2022",Department of Fish and Wildlife,No,"$19,402,750",Dependent,Reimbursement(s)
Active Ongoing,Proposition 4 – Nature Based,"Jun 11, 2025",Santa Monica Mountains Conservancy,No,"$25,000,000",Dependent,Reimbursement(s)
Active Ongoing,Proposition 4 – River,"Jun 11, 2025",Santa Monica Mountains Conservancy,No,"$13,850,000",Dependent,Reimbursement(s)
Active Ongoing,Proposition 4 – Wildfire and Forest Resilience,"Dec 11, 2025",San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,No,"$30,904,000","$50,000 – $2,000,000",Advances & Reimbursement(s)
Active Ongoing,Proposition 4 Grant Program,"Sep 4, 2025",Tahoe Conservancy,No,"$13,000,000",Dependent,Reimbursement(s)
Active Ongoing,Proposition 4 Wildfire,"Jun 11, 2025",Santa Monica Mountains Conservancy,No,"$20,549,000",Dependent,Reimbursement(s)
Active Ongoing,Proposition 68 – Water Recycling,"Jun 6, 2023",State Water Resources Control Board,No,"$3,000,000",Dependent,Reimbursement(s)
Active Ongoing,Proposition 68 Fish and Wildlife Improvement Grant Opportunities – (Including Severely Disadvantaged Communities),"Nov 30, 2022",Department of Fish and Wildlife,No,"$15,925,000",Dependent,Reimbursement(s)
Active Ongoing,Proposition 68 Fish and Wildlife Improvement Grant Program,"Nov 30, 2022",Department of Fish and Wildlife,No,"$6,087,000",Dependent,Reimbursement(s)
Active Ongoing,Proposition 68 Grant Program,"Jul 10, 2020",Tahoe Conservancy,No,"$4,000,000",Dependent,Reimbursement(s)
Active Ongoing,Proposition 68 Grants for Lower Los Angeles River (LLAR),"Jan 21, 2024",San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,No,"$14,312,239","$10,000 – $2,000,000",Advances & Reimbursement(s)
Active Ongoing,Proposition 68 LLAR Severely Disadvantaged Communities,"Sep 4, 2024",San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,No,"$3,549,462",Dependent,Advances & Reimbursement(s)
Active Ongoing,Proposition 68 Regionwide Grants,"Aug 21, 2024",San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,No,"$206,150",Dependent,Reimbursement(s)
Active Ongoing,Proposition 68 Rivers and Streams Grant Program,"Nov 30, 2022",Department of Fish and Wildlife,No,"$6,087,000",Dependent,Reimbursement(s)
